Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
BTCUSDT,2018-08-28,6907.26000000,7135.00000000,6860.00000000,7076.11000000,48352.91716300,2018-08-28 23:59:59.999,338220284.29016572,252033,26495.58996600,185343334.34057817,0
BTCUSDT,2018-08-29,7077.00000000,7133.81000000,6912.34000000,7031.22000000,43252.48739200,2018-08-29 23:59:59.999,304565438.48500581,223772,23716.20275000,167062558.37522662,0
BTCUSDT,2018-08-30,7033.21000000,7063.63000000,6784.81000000,6984.84000000,44716.77462000,2018-08-30 23:59:59.999,309357226.58362526,230848,24453.04178100,169234472.84231015,0
BTCUSDT,2018-08-31,6984.84000000,7089.00000000,6888.00000000,7011.21000000,40467.40063800,2018-08-31 23:59:59.999,282722730.06131950,203142,21668.41220800,151377811.89247839,0
BTCUSDT,2018-09-01,7011.21000000,7275.00000000,7008.74000000,7200.01000000,40323.41409300,2018-09-01 23:59:59.999,287299347.76914562,217286,22552.71614500,160667815.75284992,0
BTCUSDT,2018-09-02,7201.57000000,7345.45000000,7127.00000000,7302.01000000,39814.84035200,2018-09-02 23:59:59.999,288526018.71327894,210282,22422.52063000,162523675.69236816,0
BTCUSDT,2018-09-03,7302.00000000,7338.28000000,7191.63000000,7263.02000000,32396.01837100,2018-09-03 23:59:59.999,235393601.42514038,173846,16914.88058800,122917873.88750283,0
BTCUSDT,2018-09-04,7263.00000000,7410.00000000,7227.17000000,7359.06000000,35300.64051800,2018-09-04 23:59:59.999,258978411.27108596,183178,19983.17759100,146619387.99884399,0
BTCUSDT,2018-09-05,7359.05000000,7397.30000000,6682.00000000,6700.00000000,63715.25626700,2018-09-05 23:59:59.999,449463489.05799754,308813,31531.57902100,222719950.68442563,0
BTCUSDT,2018-09-06,6697.27000000,6725.00000000,6265.00000000,6516.01000000,60644.46422700,2018-09-06 23:59:59.999,390391932.20911762,280845,32332.54953300,208137324.51688047,0
BTCUSDT,2018-09-07,6516.84000000,6544.00000000,6320.00000000,6395.54000000,38906.28805000,2018-09-07 23:59:59.999,250716129.90518978,194451,21463.03557100,138344836.35692800,0
BTCUSDT,2018-09-08,6395.54000000,6478.00000000,6111.00000000,6185.05000000,38215.03217100,2018-09-08 23:59:59.999,241711345.37120344,180831,19615.08419300,124201124.44821739,0
BTCUSDT,2018-09-09,6185.06000000,6441.00000000,6141.53000000,6250.81000000,37053.92382000,2018-09-09 23:59:59.999,233583450.10542049,176709,20804.78067000,131143409.64187043,0
BTCUSDT,2018-09-10,6252.26000000,6373.98000000,6221.00000000,6312.00000000,32439.45643200,2018-09-10 23:59:59.999,204178349.96987470,165286,18454.69598400,116171984.16461361,0
BTCUSDT,2018-09-11,6311.99000000,6404.00000000,6169.68000000,6294.91000000,33104.88859000,2018-09-11 23:59:59.999,208346648.80045935,173335,18417.97360600,115940661.51207639,0
BTCUSDT,2018-09-12,6293.00000000,6360.00000000,6192.37000000,6338.62000000,31433.64593900,2018-09-12 23:59:59.999,197398009.01256667,165590,17211.99689000,108098184.76419269,0
BTCUSDT,2018-09-13,6338.62000000,6535.00000000,6337.40000000,6487.38000000,40465.06310700,2018-09-13 23:59:59.999,260985165.19184463,215637,21685.30286900,139897583.37583556,0
BTCUSDT,2018-09-14,6487.39000000,6584.99000000,6385.62000000,6476.63000000,37173.33927700,2018-09-14 23:59:59.999,241466662.64800575,198375,19926.09224600,129446503.53889132,0
BTCUSDT,2018-09-15,6476.63000000,6565.45000000,6466.13000000,6514.96000000,25243.65661200,2018-09-15 23:59:59.999,164557841.07986920,141362,13631.32786000,88868550.64006232,0
BTCUSDT,2018-09-16,6514.96000000,6524.62000000,6370.00000000,6505.00000000,27568.13289700,2018-09-16 23:59:59.999,178614079.15149954,145921,15277.36029400,99017939.48392931,0
BTCUSDT,2018-09-17,6500.08000000,6533.84000000,6201.00000000,6248.69000000,35987.25473800,2018-09-17 23:59:59.999,228970700.75042215,196924,18132.46048400,115435845.03181572,0
BTCUSDT,2018-09-18,6248.69000000,6390.00000000,6224.98000000,6336.45000000,32620.86667000,2018-09-18 23:59:59.999,205736329.40707866,169055,18134.69532700,114376447.08866694,0
BTCUSDT,2018-09-19,6336.39000000,6517.70000000,6123.00000000,6391.89000000,39044.08008200,2018-09-19 23:59:59.999,247455364.52379558,198215,21198.52637500,134463617.32427763,0
